DREAM TEAM WORLD CUP PLAYERS
Source: https://dev-fantasy.uat-dreamteamfc.com/
Fields: PLAYER | POSITION | NATIONAL TEAM
Samir El Mourabet | MID | Morocco
Sofyan Amrabat | MID | Morocco
Ayoub El Kaabi | FWD | Morocco
Soufiane Rahimi | FWD | Morocco

=== NETHERLANDS ===
Bart Verbruggen | GK | Netherlands
Mark Flekken | GK | Netherlands
Robin Roefs | GK | Netherlands
Denzel Dumfries | DEF | Netherlands
Jan Paul van Hecke | DEF | Netherlands
Jorrel Hato | DEF | Netherlands
Jurriën Timber | DEF | Netherlands
Micky van de Ven | DEF | Netherlands
Nathan Aké | DEF | Netherlands
Virgil van Dijk | DEF | Netherlands
Cody Gakpo | MID | Netherlands
Crysencio Summerville | MID | Netherlands
Frenkie de Jong | MID | Netherlands
Guus Til | MID | Netherlands
Justin Kluivert | MID | Netherlands
Marten de Roon | MID | Netherlands
Mats Wieffer | MID | Netherlands
Noa Lang | MID | Netherlands
Quinten Timber | MID | Netherlands
Ryan Gravenberch | MID | Netherlands
Teun Koopmeiners | MID | Netherlands
Tijjani Reijnders | MID | Netherlands
Brian Brobbey | FWD | Netherlands
Donyell Malen | FWD | Netherlands
Memphis Depay | FWD | Netherlands
Wout Weghorst | FWD | Netherlands

=== NEW ZEALAND ===
Alex Paulsen | GK | New Zealand
Max Crocombe | GK | New Zealand
Michael Woud | GK | New Zealand
Callan Elliot | DEF | New Zealand
Finn Surman | DEF | New Zealand
Francis de Vries | DEF | New Zealand
Liberato Cacace | DEF | New Zealand
Michael Boxall | DEF | New Zealand
Nando Pijnaker | DEF | New Zealand
Tim Payne | DEF | New Zealand
Tommy Smith | DEF | New Zealand
Tyler Bindon | DEF | New Zealand
Alex Rufer | MID | New Zealand
Ben Old | MID | New Zealand
Callum McCowatt | MID | New Zealand
Elijah Just | MID | New Zealand
Jesse Randall | MID | New Zealand
Joe Bell | MID | New Zealand
Lachlan Bayliss | MID | New Zealand
Marko Stamenic | MID | New Zealand
Matthew Garbett | MID | New Zealand
Ryan Thomas | MID | New Zealand
Sarpreet Singh | MID | New Zealand
Ben Waine | FWD | New Zealand
Chris Wood | FWD | New Zealand
Kosta Barbarouses | FWD | New Zealand

=== NORWAY ===
Egil Selvik | GK | Norway
Ørjan Nyland | GK | Norway
Sander Tangvik | GK | Norway
David Møller Wolfe | DEF | Norway
Fredrik Bjørkan | DEF | Norway
Henrik Falchener | DEF | Norway
Julian Ryerson | DEF | Norway
Kristoffer Ajer | DEF | Norway
Leo Østigård | DEF | Norway
Marcus Pedersen | DEF | Norway
Sondre Langås | DEF | Norway
Torbjørn Heggem | DEF | Norway
Andreas Schjelderup | MID | Norway
Antonio Nusa | MID | Norway
Fredrik Aursnes | MID | Norway
Jens Petter Hauge | MID | Norway
Kristian Thorstvedt | MID | Norway
Martin Ødegaard | MID | Norway
Morten Thorsby | MID | Norway
Oscar Bobb | MID | Norway
Patrick Berg | MID | Norway
Sander Berge | MID | Norway
Thelo Aasgaard | MID | Norway
Alexander Sørloth | FWD | Norway
Erling Haaland | FWD | Norway
Jørgen Strand Larsen | FWD | Norway

=== PANAMA ===
César Samudio | GK | Panama
Luis Mejía | GK | Panama
Orlando Mosquera | GK | Panama
Amir Murillo | DEF | Panama
Andrés Andrade | DEF | Panama
César Blackman | DEF | Panama
Edgardo Fariña | DEF | Panama
Éric Davis | DEF | Panama
Fidel Escobar | DEF | Panama
Jiovany Ramos | DEF | Panama
Jorge Gutiérrez | DEF | Panama
José Córdoba | DEF | Panama
Roderick Miller | DEF | Panama
Adalberto Carrasquilla | MID | Panama
Alberto Quintero | MID | Panama
Aníbal Godoy | MID | Panama
Azarías Londoño | MID | Panama
Carlos Harvey | MID | Panama
César Yanis | MID | Panama
Cristian Martínez | MID | Panama
Ismael Díaz | MID | Panama
José Luis Rodríguez | MID | Panama
Yoel Bárcenas | MID | Panama
Cecilio Waterman | FWD | Panama
José Fajardo | FWD | Panama
Tomás Rodríguez | FWD | Panama

=== PARAGUAY ===
Orlando Gill | GK | Paraguay
Roberto Fernández | GK | Paraguay
Alan Max Benítez Domínguez | DEF | Paraguay
Fabián Balbuena | DEF | Paraguay
Gustavo Gómez | DEF | Paraguay
Juan José Cáceres | DEF | Paraguay
Júnior Alonso | DEF | Paraguay
Omar Alderete | DEF | Paraguay
Alejandro Romero | MID | Paraguay
Andrés Cubas | MID | Paraguay
Braian Ojeda | MID | Paraguay
Damián Bobadilla | MID | Paraguay
Diego Gómez | MID | Paraguay
Julio Enciso | MID | Paraguay
Matías Galarza | MID | Paraguay
Miguel Almirón | MID | Paraguay
Ramón Sosa | MID | Paraguay
Álex Arce | FWD | Paraguay
Antonio Sanabria | FWD | Paraguay
Gabriel Ávalos | FWD | Paraguay

=== PORTUGAL ===
Diogo Meireles da Costa | GK | Portugal
José Pedro Malheiro de Sá | GK | Portugal
Rui Tiago Dantas da Silva | GK | Portugal
Gonçalo Bernardo Inácio | DEF | Portugal
João Pedro Cavaco Cancelo | DEF | Portugal
José Diogo Dalot Teixeira | DEF | Portugal
Matheus Luiz Nunes | DEF | Portugal
Nélson Cabral Semedo | DEF | Portugal
Nuno Alexandre Tavares Mendes | DEF | Portugal
Renato Palma Veiga | DEF | Portugal
Rúben dos Santos Gato Alves Dias | DEF | Portugal
Tomás Lemos Araújo | DEF | Portugal
Bernardo Mota Veiga de Carvalho e Silva | MID | Portugal
Bruno Miguel Borges Fernandes | MID | Portugal
Francisco António Machado Mota de Castro Trincão | MID | Portugal
Francisco Fernandes da Conceição | MID | Portugal
Gonçalo Manuel Ganchinho Guedes | MID | Portugal
João Félix Sequeira | MID | Portugal
João Pedro Gonçalves Neves | MID | Portugal
Pedro Lomba Neto | MID | Portugal
Rafael Alexandre da Conceição Leão | MID | Portugal
Rúben Diogo da Silva Neves | MID | Portugal
Samuel de Almeida Costa | MID | Portugal
Vítor Machado Ferreira | MID | Portugal
Cristiano Ronaldo dos Santos Aveiro | FWD | Portugal
Gonçalo Matias Ramos | FWD | Portugal

=== QATAR ===
Meshaal Aissa Mohammed Barsham | GK | Qatar
Salah Zakaria Mohamed Mousa Hassan | GK | Qatar
Ayoub Mohamed Al Oui | DEF | Qatar
Boualem Khoukhi | DEF | Qatar
Homam El Amin Mohamed Ahmed | DEF | Qatar
Pedro Miguel Carvalho Deus Correia | DEF | Qatar
Sultan Hussain Mohamad Hussain Al Brake | DEF | Qatar
Tarek Salman Suleiman Odeh | DEF | Qatar
Abdulaziz Hatem Abdullah Mohammed | MID | Qatar
Ahmed Fathy Mansi Abdoulla | MID | Qatar
Akram Hassan Afif Yahya Afif | MID | Qatar
Assim Omer Al Haj Madibo | MID | Qatar
Jassem Gaber El Sayed Abdulsallam | MID | Qatar
Karim Boudiaf | MID | Qatar
Mohammad Naceur Al Mannai | MID | Qatar
Mohammed Waad Abdulwahhab Jadoua Al Bayati | MID | Qatar
Yusuf Abdurisag Yusuf | MID | Qatar
Ahmed Alaaeldin Bader Mohammed Abdelmotaal | FWD | Qatar
Almoez Ali Zainalabedeen Mohamed Abdulla | FWD | Qatar
Mohammed Muntari | FWD | Qatar

=== SAUDI ARABIA ===
Mohammed bin Khalil bin Ibrahim Al Owais | GK | Saudi Arabia
Nawaf bin Dhahi bin Faisal Al Shuweiti Al Aqidi | GK | Saudi Arabia
Abdulelah bin Ali bin Awadh Al Amri | DEF | Saudi Arabia
Aiman bin Yahya bin Yahya Salem Ahmed | DEF | Saudi Arabia
Ali bin Hassan bin Mohammed Majrashi | DEF | Saudi Arabia
Ali bin Mohammed bin Ali Lajami | DEF | Saudi Arabia
Hassan bin Mohammed bin Osama Al Tambakti | DEF | Saudi Arabia
Moteb bin Saad bin Salim Al Naqi Al Harbi | DEF | Saudi Arabia
Nawaf bin Meshari bin Mohammed Bu Washl | DEF | Saudi Arabia
Saud bin Abdullah bin Salem Abdulhamid | DEF | Saudi Arabia
Khalid bin Essa bin Mohammed Al Ghannam | MID | Saudi Arabia
Mohamed bin Ibrahim bin Abdullah Kanno | MID | Saudi Arabia
Musab bin Fahad bin Zaid Al Juwayr | MID | Saudi Arabia
Nasser bin Essa bin Shafi Al Shardan Al Dawsari | MID | Saudi Arabia
Salem bin Mohammed bin Shafi Al Dawsari | MID | Saudi Arabia
Ziyad bin Mubarak bin Eid Al Marwani Al Johani | MID | Saudi Arabia
Abdullah bin Abdulrahman bin Abdullah Al Hamddan | FWD | Saudi Arabia
Feras bin Tariq bin Nasser Al Brikan | FWD | Saudi Arabia
Saleh bin Khalid bin Mohammed Al Shehri | FWD | Saudi Arabia
Saleh bin Waheeb bin Saeed Abu Al Shamat | STR | Saudi Arabia

=== SCOTLAND ===
Angus Gunn | GK | Scotland
Craig Gordon | GK | Scotland
Liam Kelly | GK | Scotland
Aaron Hickey | DEF | Scotland
Andy Robertson | DEF | Scotland
Anthony Ralston | DEF | Scotland
Dominic Hyam | DEF | Scotland
Grant Hanley | DEF | Scotland
Jack Hendry | DEF | Scotland
John Souttar | DEF | Scotland
Kieran Tierney | DEF | Scotland
Nathan Patterson | DEF | Scotland
Scott McKenna | DEF | Scotland
Ben Gannon-Doak | MID | Scotland
Billy Clifford Gilmour | MID | Scotland
Findlay Curtis | MID | Scotland
John McGinn | MID | Scotland
Kenny McLean | MID | Scotland
Lewis Ferguson | MID | Scotland
Ryan Christie | MID | Scotland
Scott McTominay | MID | Scotland
Ché Adams | FWD | Scotland
George Hirst | FWD | Scotland
Lawrence Shankland | FWD | Scotland
Lyndon Dykes | FWD | Scotland
Ross Stewart | FWD | Scotland

=== SENEGAL ===
Édouard Mendy | GK | Senegal
Mory Diaw | GK | Senegal
Yehvann Diouf | GK | Senegal
Abdoulaye Seck | DEF | Senegal
Antoine Mendy | DEF | Senegal
El Hadji Malick Diouf | DEF | Senegal
Ismail Jakobs | DEF | Senegal
Kalidou Koulibaly | DEF | Senegal
Krépin Diatta | DEF | Senegal
Mamadou Sarr | DEF | Senegal
Moussa Niakhaté | DEF | Senegal
Habib Diarra | MID | Senegal
Ibrahim Mbaye | MID | Senegal
Idrissa Gueye | MID | Senegal
Iliman Ndiaye | MID | Senegal
Ismaïla Sarr | MID | Senegal
Lamine Camara | MID | Senegal
Pape Gueye | MID | Senegal
Pape Matar Sarr | MID | Senegal
Pathé Ciss | MID | Senegal
Sadio Mané | MID | Senegal
Bamba Dieng | FWD | Senegal
Cherif Ndiaye | FWD | Senegal
Nicolas Jackson | FWD | Senegal

=== SOUTH AFRICA ===
Ricardo Goss | GK | South Africa
Ronwen Williams | GK | South Africa
Sipho Chaine | GK | South Africa
Aubrey Modiba | DEF | South Africa
Ime Okon | DEF | South Africa
Khuliso Mudau | DEF | South Africa
Khulumani Ndamane | DEF | South Africa
Mbekezeli Mbokazi | DEF | South Africa
Nkosinathi Sibisi | DEF | South Africa
Sphephelo S'Miso Sithole | MID | South Africa
Teboho Mokoena | MID | South Africa
Thalente Mbatha | MID | South Africa
Themba Zwane | MID | South Africa
Evidence Makgopa | FWD | South Africa
Iqraam Rayners | FWD | South Africa
Lyle Foster | FWD | South Africa
Oswin Appollis | FWD | South Africa
Thapelo Maseko | FWD | South Africa

=== SPAIN ===
David Raya | GK | Spain
Joan García | GK | Spain
Unai Simón | GK | Spain
Alejandro Grimaldo | DEF | Spain
Aymeric Laporte | DEF | Spain
Eric García | DEF | Spain
Marc Cucurella | DEF | Spain
Marc Pubill | DEF | Spain
Marcos Llorente | DEF | Spain
Pau Cubarsí | DEF | Spain
Pedro Porro | DEF | Spain
Álex Baena | MID | Spain
Dani Olmo | MID | Spain
Fabián Ruiz | MID | Spain
Lamine Yamal Nasraoui Ebana | MID | Spain
Martín Zubimendi | MID | Spain
Mikel Merino | MID | Spain
Nico Williams | MID | Spain
Pablo Páez Gavira | MID | Spain
Pedro González López | MID | Spain
Rodrigo Hernández Cascante | MID | Spain
Víctor Muñoz | MID | Spain
Yéremy Pino | MID | Spain
Borja Iglesias | FWD | Spain
Ferran Torres | FWD | Spain
Mikel Oyarzabal | FWD | Spain

=== SWEDEN ===
Jacob Widell Zetterström | GK | Sweden
Kristoffer Nordfeldt | GK | Sweden
Viktor Johansson | GK | Sweden
Carl Starfelt | DEF | Sweden
Daniel Svensson | DEF | Sweden
Elliot Stroud | DEF | Sweden
Emil Alfons Holm | DEF | Sweden
Eric Smith | DEF | Sweden
Gabriel Gudmundsson | DEF | Sweden
Gustaf Lagerbielke | DEF | Sweden
Hjalmar Ekdal | DEF | Sweden
Isak Hien | DEF | Sweden
Victor Lindelöf | DEF | Sweden
Alexander Bernhardsson | MID | Sweden
Anthony Elanga | MID | Sweden
Besfort Zeneli | MID | Sweden
Jesper Karlström | MID | Sweden
Ken Sema | MID | Sweden
Lucas Bergvall | MID | Sweden
Mattias Svanberg | MID | Sweden
Taha Ali | MID | Sweden
Yasin Ayari | MID | Sweden
Alexander Isak | FWD | Sweden
Benjamin Nygren | FWD | Sweden
Gustaf Nilsson | FWD | Sweden
Viktor Gyökeres | FWD | Sweden

=== SWITZERLAND ===
Gregor Kobel | GK | Switzerland
Marvin Keller | GK | Switzerland
Yvon Mvogo | GK | Switzerland
Aurèle Amenda | DEF | Switzerland
Eray Cömert | DEF | Switzerland
Luca Jaquez | DEF | Switzerland
Manuel Akanji | DEF | Switzerland
Miro Muheim | DEF | Switzerland
Nico Elvedi | DEF | Switzerland
Ricardo Rodríguez | DEF | Switzerland
Silvan Widmer | DEF | Switzerland
Ardon Jashari | MID | Switzerland
Christian Fassnacht | MID | Switzerland
Dan Ndoye | MID | Switzerland
Denis Zakaria | MID | Switzerland
Djibril Sow | MID | Switzerland
Fabian Rieder | MID | Switzerland
Granit Xhaka | MID | Switzerland
Johan Manzambi | MID | Switzerland
Michel Aebischer | MID | Switzerland
Remo Freuler | MID | Switzerland
Rubén Vargas | MID | Switzerland
Breel Embolo | FWD | Switzerland
Cedric Itten | FWD | Switzerland
Noah Okafor | FWD | Switzerland
Zeki Amdouni | FWD | Switzerland

=== TUNISIA ===
Abdelmouhib Chamakh | GK | Tunisia
Aymen Dahmen | GK | Tunisia
Sabri Ben Hessen | GK | Tunisia
Adem Arous | DEF | Tunisia
Ali Abdi | DEF | Tunisia
Dylan Bronn | DEF | Tunisia
Mohamed Amine Ben Hmida | DEF | Tunisia
Montassar Talbi | DEF | Tunisia
Moutaz Neffati | DEF | Tunisia
Omar Rekik | DEF | Tunisia
Raed Chikhaoui | DEF | Tunisia
Yan Valery | DEF | Tunisia
Anis Ben Slimane | MID | Tunisia
Elias Achouri | MID | Tunisia
Elias Saad | MID | Tunisia
Ellyes Skhiri | MID | Tunisia
Hadj Mahmoud | MID | Tunisia
Hannibal Mejbri | MID | Tunisia
Ismaël Gharbi | MID | Tunisia
Khalil Ayari | MID | Tunisia
Mortadha Ben Ouanes | MID | Tunisia
Rani Khedira | MID | Tunisia
Sebastian Tounekti | MID | Tunisia
Firas Chaouat | FWD | Tunisia
Hazem Mastouri | FWD | Tunisia
Rayan Elloumi | FWD | Tunisia

=== TÜRKIYE ===
Altay Bayindir | GK | Türkiye
Mert Günok | GK | Türkiye
Ugurcan Çakir | GK | Türkiye
Abdülkerim Bardakci | DEF | Türkiye
Ferdi Kadioglu | DEF | Türkiye
Merih Demiral | DEF | Türkiye
Mert Müldür | DEF | Türkiye
Ozan Kabak | DEF | Türkiye
Zeki Çelik | DEF | Türkiye
Arda Güler | MID | Türkiye
Baris Alper Yilmaz | MID | Türkiye
Hakan Çalhanoglu | MID | Türkiye
Irfan Can Kahveci | MID | Türkiye
Ismail Yüksek | MID | Türkiye
Kenan Yildiz | MID | Türkiye
Orkun Kökçü | MID | Türkiye
Salih Özcan | MID | Türkiye
Yunus Akgün | MID | Türkiye
Kerem Aktürkoglu | FWD | Türkiye

=== UNITED STATES ===
Chris Brady | GK | United States
Matt Freese | GK | United States
Matt Turner | GK | United States
Alex Freeman | DEF | United States
Antonee Robinson | DEF | United States
Auston Trusty | DEF | United States
Chris Richards | DEF | United States
Joe Scally | DEF | United States
Mark McKenzie | DEF | United States
Miles Robinson | DEF | United States
Sergiño Dest | DEF | United States
Tim Ream | DEF | United States
Álex Zendejas | MID | United States
Brenden Aaronson | MID | United States
Christian Pulisic | MID | United States
Cristian Roldan | MID | United States
Giovanni Reyna | MID | United States
Malik Tillman | MID | United States
Max Arfsten | MID | United States
Sebastian Berhalter | MID | United States
Timothy Weah | MID | United States
Tyler Adams | MID | United States
Weston McKennie | MID | United States
Folarin Balogun | FWD | United States
Haji Wright | FWD | United States
Ricardo Pepi | FWD | United States

=== URUGUAY ===
Santiago Mele | GK | Uruguay
Sergio Rochet | GK | Uruguay
Guillermo Varela | DEF | Uruguay
José María Giménez | DEF | Uruguay
Mathías Olivera | DEF | Uruguay
Matías Viña | DEF | Uruguay
Ronald Araujo | DEF | Uruguay
Brian Rodríguez | MID | Uruguay
Federico Valverde | MID | Uruguay
Giorgian de Arrascaeta | MID | Uruguay
Manuel Ugarte | MID | Uruguay
Maxi Araújo | MID | Uruguay
Rodrigo Bentancur | MID | Uruguay
Darwin Núñez | FWD | Uruguay
Federico Viñas | FWD | Uruguay
Rodrigo Aguirre | FWD | Uruguay

=== UZBEKISTAN ===
Abduvokhid Nematov | GK | Uzbekistan
Botirali Ergashev | GK | Uzbekistan
Utkir Yusupov | GK | Uzbekistan
Abdukodir Khusanov | DEF | Uzbekistan
Abdulla Abdullaev | DEF | Uzbekistan
Farrukh Sayfiev | DEF | Uzbekistan
Jakhongir Urozov | DEF | Uzbekistan
Khojiakbar Alijonov | DEF | Uzbekistan
Rustam Ashurmatov | DEF | Uzbekistan
Sherzod Nasrullaev | DEF | Uzbekistan
Umar Eshmurodov | DEF | Uzbekistan
Abbosbek Fayzullaev | MID | Uzbekistan
Akmal Mozgovoy | MID | Uzbekistan
Aziz G'aniev | MID | Uzbekistan
Azizbek Amonov | MID | Uzbekistan
Dostonbek Khamdamov | MID | Uzbekistan
Jaloliddin Masharipov | MID | Uzbekistan
Jamshid Iskanderov | MID | Uzbekistan
Odiljon Khamrobekov | MID | Uzbekistan
Oston Urunov | MID | Uzbekistan
Otabek Shukurov | MID | Uzbekistan
Eldor Shomurodov | FWD | Uzbekistan
Igor Sergeev | FWD | Uzbekistan
Ruslanbek Jiyanov | STR | Uzbekistan
Sherzod Temirov | STR | Uzbekistan
